id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
196,02147.wav,02147_augmented_spd_nse.wav,6.3734,6.5203,True,0.9775,False,True,False,AugmentationType.SPEED|NOISE
197,02147.wav,02147_augmented_pch_msk.wav,6.3734,6.3734,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
198,02157.wav,02157_augmented_spd_nse.wav,12.1654,12.6091,True,0.9648,False,False,False,AugmentationType.SPEED|NOISE
199,02157.wav,02157_augmented_pch_msk.wav,12.1654,12.1654,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
200,02171.wav,02171_augmented_spd_nse.wav,6.2347,6.5471,True,0.9523,False,False,False,AugmentationType.SPEED|NOISE
201,02171.wav,02171_augmented_pch_msk.wav,6.2347,6.2347,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
202,02186.wav,02186_augmented_spd_nse.wav,14.9707,14.4816,True,1.0338,False,True,False,AugmentationType.SPEED|NOISE
203,02186.wav,02186_augmented_pch_msk.wav,14.9707,14.9707,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
204,02190.wav,02190_augmented_spd_nse.wav,16.1654,15.8685,True,1.0187,False,True,False,AugmentationType.SPEED|NOISE
205,02190.wav,02190_augmented_pch_msk.wav,16.1654,16.1654,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
206,02199.wav,02199_augmented_spd_nse.wav,17.0934,16.8352,True,1.0153,False,True,False,AugmentationType.SPEED|NOISE
207,02199.wav,02199_augmented_pch_msk.wav,17.0934,17.0934,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
208,02220.wav,02220_augmented_spd_nse.wav,17.06,17.2929,True,0.9865,False,True,False,AugmentationType.SPEED|NOISE
209,02220.wav,02220_augmented_pch_msk.wav,17.06,17.06,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
210,02231.wav,02231_augmented_spd_nse.wav,12.7947,13.6756,True,0.9356,False,True,False,AugmentationType.SPEED|NOISE
